CompanyName,MarketCap,EmployeesTotalAmount
HESS,41.97,NAN
INTESA SANPAOLO,41.97,NAN
SUNCOR ENERGY,41.96,NAN
MICROCHIP TECHNOLOGY,41.86,NAN
TOKIO MARINE,41.78,NAN
COMPASS GROUP,41.72,NAN
SYSCO,41.62,NAN
BIOGEN,41.62,NAN
BCE,41.53,NAN
L3HARRIS TECHNOLOGIES,41.51,NAN
BAIDU,41.19,NAN
S.F. EXPRESS,41.12,NAN
WANHUA CHEMICAL,41.12,NAN
WILLIAMS COMPANIES,41.08,NAN
OCBC BANK,41.08,NAN
FERRARI,41.07,NAN
BUDWEISER APAC,40.97,NAN
HONDA,40.83,NAN
CITIC SECURITIES,40.78,NAN
ARTHUR J. GALLAGHER & CO.,40.71,NAN
KINDER MORGAN,40.7,NAN
TRANE TECHNOLOGIES,40.65,NAN
CHENIERE ENERGY,40.58,NAN
REALTY INCOME,40.55,NAN
DEVON ENERGY,40.47,NAN
ROSS STORES,40.43,NAN
DENSO,40.26,NAN
ARISTA NETWORKS,40.25,NAN
NORNICKEL,40.2,NAN
LUKOIL,39.92,NAN
MSCI,39.85,NAN
IQVIA,39.78,NAN
APOLLO GLOBAL MANAGEMENT,39.64,NAN
NUTRIEN,39.56,NAN
ØRSTED,39.48,NAN
TE CONNECTIVITY,39.41,NAN
SIKA,39.32,NAN
XCEL ENERGY,38.99,NAN
ADANI GREEN ENERGY,38.88,NAN
SUN HUNG KAI PROPERTIES,38.84,NAN
NORDEA BANK,38.54,NAN
ATLASSIAN,38.28,NAN
UOB,38.2,NAN
ZIJIN MINING,38.14,NAN
PARKER-HANNIFIN,38.13,NAN
LLOYDS BANKING GROUP,38.01,NAN
NUCOR,37.95,NAN
VOLVO GROUP,37.93,NAN
KUAISHOU TECHNOLOGY,37.93,NAN
NESTE,37.56,NAN
PRUDENTIAL FINANCIAL,37.56,NAN
CIBC,37.5,NAN
NEWMONT,37.39,NAN
EAST MONEY INFORMATION,37.34,NAN
LARSEN & TOUBRO,37.27,NAN
LAS VEGAS SANDS,37.25,NAN
MUYUAN FOODS,37.06,NAN
JARDINE MATHESON,37.02,NAN
JAPAN TOBACCO,36.99,NAN
YUM! BRANDS,36.96,NAN
PRUDENTIAL,36.95,NAN
MAERSK,36.9,NAN
CAPITAL ONE,36.87,NAN
HOYA,36.86,NAN
7-ELEVEN,36.86,NAN
LONZA,36.83,NAN
HILTON WORLDWIDE,36.79,NAN
WESFARMERS,36.76,NAN
CARRIER,36.62,NAN
BANCO SANTANDER BRASIL,36.52,NAN
SEA (GARENA),36.5,NAN
PING AN BANK,36.48,NAN
ENERGY TRANSFER PARTNERS,36.41,NAN
ASIAN PAINTS,36.39,NAN
MARVELL TECHNOLOGY GROUP,36.38,NAN
ENGIE,36.33,NAN
BANK OF NEW YORK MELLON,36.32,NAN
LG CHEM,36.28,NAN
HALEON,36.24,NAN
YANGHE,36.22,NAN
DOW,36.14,NAN
WASTE CONNECTIONS,36.13,NAN
XIAOMI,36.08,NAN
ADANI TRANSMISSION,36.08,NAN
PACCAR,35.73,NAN
GLOBALFOUNDRIES,35.7,NAN
IDEXX LABORATORIES,35.61,NAN
CENOVUS ENERGY,35.46,NAN
BANCO BILBAO VIZCAYA ARGENTARIA,35.39,NAN
MEDIATEK,35.28,NAN
STMICROELECTRONICS,35.25,NAN
BANK OF CHINA (HONG KONG),35.22,NAN
WALGREENS BOOTS ALLIANCE,35.03,NAN
CONSOLIDATED EDISON,34.93,NAN
AXIS BANK,34.91,NAN
ALCON,34.88,NAN
NASPERS,34.8,NAN
JIANGSU HENGRUI MEDICINE,34.75,NAN
DSV,34.7,NAN
DUPONT DE NEMOURS,34.59,NAN
ALLSTATE,34.45,NAN
HAPAG-LLOYD,34.43,NAN
ELECTRONIC ARTS,34.41,NAN
AMERIPRISE FINANCIAL,34.38,NAN
HCL TECHNOLOGIES,34.37,NAN
EXPERIAN,34.2,NAN
OLD DOMINION FREIGHT LINE,34.18,NAN
TRANSDIGM,34.14,NAN
CUMMINS,34.1,NAN
NIDEC,33.97,NAN
MURATA MANUFACTURING (MURATA SEISAKUSHO),33.85,NAN
CHINA STATE CONSTRUCTION ENGINEERING,33.76,NAN
DANONE,33.64,NAN
CONSTELLATION SOFTWARE,33.54,NAN
ANTA SPORTS,33.47,NAN
AMERISOURCEBERGEN,33.45,NAN
MANULIFE FINANCIAL,33.44,NAN
OTIS WORLDWIDE,33.43,NAN
HALLIBURTON,33.18,NAN
BROWN FORMAN,33.06,NAN
COSTAR GROUP,33.04,NAN
ILLUMINA,33.02,NAN
VICI PROPERTIES,32.92,NAN
DMART,32.88,NAN
METTLER-TOLEDO,32.87,NAN
DEUTSCHE BÖRSE,32.74,NAN
KEYSIGHT,32.66,NAN
WUXI APPTEC,32.64,NAN
PACIFIC GAS AND ELECTRIC,32.59,NAN
AMETEK,32.55,NAN
MPLX,32.44,NAN
SAMSUNG SDI,32.42,NAN
DOLLAR TREE,32.4,NAN
LUXSHARE PRECISION,32.37,NAN
RESMED,32.35,NAN
TELSTRA,32.05,NAN
KROGER,32.04,NAN
BAE SYSTEMS,31.99,NAN
HAIER SMART HOME,31.99,NAN
NATWEST GROUP,31.89,NAN
MTR,31.87,NAN
WELLTOWER,31.82,NAN
SBA COMMUNICATIONS,31.78,NAN
HOLCIM GROUP,31.69,NAN
BARCLAYS,31.65,NAN
VANKE,31.53,NAN
GREAT WALL MOTORS,31.51,NAN
MARUTI SUZUKI INDIA,31.44,NAN
HANG SENG BANK,31.4,NAN
MIZUHO FINANCIAL GROUP,31.29,NAN
NASDAQ,31.24,NAN
PPG INDUSTRIES,31.2,NAN
BAJAJ FINSERV,31.19,NAN
CITIC BANK,31.0,NAN
CAPGEMINI,30.93,NAN
ROCKWELL AUTOMATION,30.91,NAN
SINGTEL,30.9,NAN
WEC ENERGY GROUP,30.82,NAN
CRÉDIT AGRICOLE,30.78,NAN
DIGITAL REALTY,30.74,NAN
AIER EYE HOSPITAL,30.69,NAN
JD HEALTH,30.67,NAN
BARRICK GOLD,30.64,NAN
HEXAGON,30.63,NAN
COUPANG,30.6,NAN
PSEG,30.52,NAN
SHANGHAI PUDONG DEVELOPMENT BANK,30.49,NAN
RWE,30.34,NAN
CEMENT ROADSTONE HOLDING,30.31,NAN
GENMAB,30.23,NAN
D. R. HORTON,30.09,NAN
RESTAURANT BRANDS INTERNATIONAL,30.08,NAN
AIRPORTS OF THAILAND,30.06,NAN
VESTAS WIND SYSTEMS,30.04,NAN
BANK OF NINGBO,29.96,NAN
CHINA PACIFIC INSURANCE,29.96,NAN
PEOPLE’S INSURANCE COMPANY OF CHINA,29.95,NAN
COGNIZANT TECHNOLOGY SOLUTIONS,29.92,NAN
GRUPO MÉXICO,29.9,NAN
EVERSOURCE ENERGY,29.9,NAN
DELL,29.84,NAN
AHOLD DELHAIZE,29.83,NAN
ONEOK,29.76,NAN
COPART,29.75,NAN
CONSTELLATION ENERGY,29.7,NAN
INTERACTIVE BROKERS,29.7,NAN
