CompanyName,MarketCap,EmployeesTotalAmount
Oriental Land Co. Ltd,ANTA Sports Products Ltd,"8,782"
"SK hynix, Inc.",Nvidia,"29,047"
AP Moller - Maersk A-S,Hapag-Lloyd AG,"95,000"
Shin-Etsu Chemical Co Ltd,Saudi Basic Industries Corp,"24,629"
FedEx Corporation,UPS,"384,000"
Boston Scientific Corporation,Abbott,"41,000"
PacifiCorp,"Dominion Energy, Inc.","4,800"
Dassault Systèmes SE,Salesforce,"20,496"
"MetLife, Inc.",Ping An Insurance,"49,000"
General Motors Company,Tesla,"157,000"
Sea Limited,Nintendo Co Ltd,"29,800"
"Uber Technologies, Inc.",Salesforce,"29,300"
Moody's Corporation,S&P Global Inc.,"13,460"
Nintendo Co Ltd,Sea Limited,"6,574"
Pioneer Natural Resources Company,ConocoPhillips,"1,932"
Eaton Corporation plc,Honeywell,"85,947"
"Analog Devices, Inc.",Nvidia,"24,700"
"Fidelity National Information Services, Inc.",Accenture,"65,000"
"Banco Santander, SA",JPMorgan,"177,033"
Hapag-Lloyd AG,AP Moller - Maersk A-S,"14,106"
Adyen N.V.,Microsoft,"2,180"
Atlas Copco AB,Honeywell,"42,862"
CNOOC Limited,ConocoPhillips,"18,151"
Nutrien Ltd.,"Corteva, Inc.","23,500"
"Block, Inc.",Microsoft,"8,521"
Deutsche Post AG,UPS,"548,042"
"NetEase, Inc.",Alphabet,"18,129"
Hong Kong Exchanges & Clearing Ltd,S&P Global Inc.,"2,146"
Capital One Financial Corporation,Visa,"50,767"
Emerson Electric Co.,Honeywell,"86,700"
"Palo Alto Networks, Inc.",Microsoft,"11,527"
Australia and New Zealand Banking Group Limited,JPMorgan,"39,684"
Reckitt Benckiser Group plc,Procter & Gamble,"43,000"
Nongfu Spring Co. Ltd,Coca-Cola,"20,773"
Saudi Telecom Company,Verizon,NAN
Southern Copper Corporation,Freeport-McMoRan Inc.,"14,700"
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,Abbott,"11,833"
Vinci SA,Johnson Controls International plc,"218,569"
"Workday, Inc.",Salesforce,"15,200"
RELX plc,Wolters Kluwer N.V.,"33,500"
Marvell Technology Group Ltd.,Nvidia,"6,695"
"Air Products and Chemicals, Inc.",Saudi Basic Industries Corp,"20,000"
Pernod Ricard SA,Kweichow Moutai,"18,500"
Schlumberger Limited,Baker Hughes Company,"92,000"
"Marvell Technology, Inc.",Nvidia,"6,695"
Itaú Unibanco Holding SA,JPMorgan,"99,600"
Enterprise Products Partners L.P.,Enbridge Inc.,"7,000"
Foshan Haitian Flavouring and Food Company Ltd,The Kraft Heinz Company,"6,058"
Mitsubishi Corp,Jardine Strategic Holdings Limited,NAN
Canadian Imperial Bank of Commerce,JPMorgan,"46,030"
"Marriott International, Inc.",Hilton Worldwide Holdings Inc.,"120,000"
Pinduoduo,Amazon,"7,986"
IHS Markit Ltd.,Thomson Reuters Corporation,"16,000"
The Saudi National Bank,JPMorgan,"16,113"
TC Energy Corporation,Enbridge Inc.,"7,017"
Humana Inc.,UnitedHealth Group,"95,500"
KLA Corporation,ASML,"11,300"
Bank of Communications Co. Ltd,JPMorgan,"90,238"
Bayerische Motoren Werke AG,Tesla,"118,909"
Macquarie Group Limited,Morgan Stanley,"17,209"
National Grid plc,"Dominion Energy, Inc.","23,683"
"Daikin Industries,Ltd.",Carrier Global Corporation,"84,870"
Chugai Pharmaceutical Co. Ltd,Johnson & Johnson,"7,664"
Keurig Dr Pepper Inc.,Coca-Cola,"27,500"
Ergo Science Corp,"Automatic Data Processing, Inc.",NAN
SoftBank Group Corp.,Verizon,"58,786"
Heineken N.V.,Anheuser-Busch InBev SA/NV,"81,070"
Ambev SA,Anheuser-Busch InBev SA/NV,"53,000"
Canadian Pacific Railway Limited,Union Pacific,"11,834"
Marathon Petroleum Corporation,Valero Energy Corporation,"17,700"
"American International Group, Inc.",Allianz SE,"36,600"
Dollar General Corporation,Walmart,"163,000"
"Fortinet, Inc.",Microsoft,"10,195"
Snap Inc.,Alphabet,"5,661"
Ferrari N.V.,Tesla,"4,609"
Lonza Group Ltd,Thermo Fisher Scientific,"16,218"
London Stock Exchange Group plc,S&P Global Inc.,"24,158"
Thomson Reuters Corporation,IHS Markit Ltd.,"24,400"
