CompanyName,MarketCap,EmployeesTotalAmount
Kerry Group plc,NAN,"22,000"
"Hologic, Inc.",NAN,"6,705"
Ryanair Holdings plc,NAN,"17,000"
Standard Bank Group Ltd,NAN,"49,224"
Aviva plc,NAN,"22,000"
China Communications Construction Co Ltd,NAN,"133,294"
China Resources Beer (Holdings) Company Ltd,NAN,"25,000"
"Teradyne, Inc.",NAN,"5,900"
Kao Corp,NAN,"33,409"
Klabin SA,NAN,NAN
"Paycom Software, Inc.",NAN,"5,385"
Vedanta Limited,NAN,"17,047"
Trina Solar Co. Ltd,NAN,"18,645"
Tradeweb Markets Inc.,NAN,"1,046"
"Sun Communities, Inc.",NAN,"4,948"
Hannover Rück SE,NAN,"3,346"
"PerkinElmer, Inc.",NAN,"16,700"
Norsk Hydro ASA,NAN,"31,264"
"Principal Financial Group, Inc.",NAN,"18,600"
Imperial Brands plc,NAN,"30,300"
CTBC Financial Holding Co. Ltd,NAN,"21,159"
China Railway Group Ltd,NAN,"288,729"
Telenor ASA,NAN,"18,000"
Swiss Life Holding AG,NAN,"8,623"
Pembina Pipeline Corporation,NAN,"2,349"
Kyocera Corp,NAN,"78,490"
Advanced Info Service PCL,NAN,NAN
STERIS Corp,NAN,NAN
CMS Energy Corporation,NAN,"8,504"
Li Ning Co Ltd,NAN,"4,019"
Standard Chartered plc,NAN,"81,770"
Marubeni Corp,NAN,NAN
Repsol SA,NAN,"23,268"
Royal Caribbean Cruises Ltd.,NAN,"84,900"
AppLovin Corp,NAN,"1,594"
Fortive Corporation,NAN,"18,000"
"FLEETCOR Technologies, Inc.",NAN,"9,700"
"HubSpot, Inc.",NAN,"5,895"
Microchip Technology Incorporated,NAN,"19,500"
Yandex N.V.,NAN,"18,004"
SEGRO plc,NAN,385
Ingersoll Rand Inc.,NAN,"16,000"
China Mengniu Dairy Co Ltd,NAN,"43,397"
Seagate Technology plc,NAN,"40,000"
China Northern Rare Earth,NAN,"9,111"
ViacomCBS Inc.,NAN,"22,965"
ZoomInfo Technologies Inc.,NAN,"2,742"
Wheaton Precious Metals Corp.,NAN,44
Regions Financial Corporation,NAN,"19,626"
Legal & General Group plc,NAN,"10,046"
"The Cooper Companies, Inc.",NAN,"12,000"
NEXON Co. Ltd,NAN,"6,288"
Rede D'Or São Luiz SA,NAN,NAN
Teck Resources Limited,NAN,"10,600"
SGS SA,NAN,"96,216"
The Saudi British Bank,NAN,"4,156"
Mitsui Fudosan Co. Ltd,NAN,"23,992"
"J.B. Hunt Transport Services, Inc.",NAN,"33,045"
"CF Industries Holdings, Inc.",NAN,"2,970"
Cincinnati Financial Corporation,NAN,"5,166"
Toyota Industries Corp,NAN,"66,947"
Geberit AG,NAN,"11,149"
ZTO Express (Cayman) Inc.,NAN,"22,536"
Unicharm Corp,NAN,"16,665"
XP Inc.,NAN,"3,000"
"Skyworks Solutions, Inc.",NAN,"11,000"
CRRC Corp Ltd,NAN,"164,177"
"Continental Resources, Inc.",NAN,"1,254"
"Huntington Bancshares, Inc.",NAN,"18,442"
"Fomento Económico Mexicano, S.A.B. de C.V.",NAN,"320,808"
Teleperformance,NAN,"420,000"
"Bio-Rad Laboratories, Inc.",NAN,"7,900"
Hennes & Mauritz AB,NAN,"155,000"
Banco do Brasil SA,NAN,"84,597"
Tata Motors Limited,NAN,"75,278"
Sumitomo Corp,NAN,"74,920"
China National Nuclear Power Co. Ltd,NAN,"14,506"
"Okta, Inc.",NAN,"5,030"
EMS-CHEMIE HOLDING AG,NAN,"2,646"
"Essex Property Trust, Inc.",NAN,"1,739"
Coca-Cola Europacific Partners plc,NAN,"22,000"
The Hong Kong and China Gas Company Ltd,NAN,"55,302"
Komatsu Ltd,NAN,"61,564"
Grupo Financiero Banorte SAB de CV,NAN,NAN
PICC Property and Casualty Company Ltd,NAN,"171,508"
Kellogg Company,NAN,"31,000"
Hewlett Packard Enterprise Company,NAN,"60,400"
Shanghai International Port,NAN,"14,068"
UCB SA,NAN,"8,600"
Panasonic Corp,NAN,"240,786"
Eurofins Scientific SE,NAN,"57,992"
Sociedad Química y Minera de Chile SA,NAN,"6,081"
Sany Heavy Industry Co. Ltd,NAN,"24,586"
Carnival Corporation & plc,NAN,"40,000"
Huazhu Group Limited,NAN,"18,352"
Garmin Ltd.,NAN,"18,700"
United Microelectronics Corporation,NAN,"19,500"
Liberty Broadband Corporation,NAN,NAN
Formosa Plastics Corp,NAN,NAN
Fortis Inc.,NAN,"9,095"
"Rocket Companies, Inc.",NAN,"26,000"
"Maxim Integrated Products, Inc.",NAN,"7,100"
MTN Group Ltd,NAN,"21,975"
Kubota Corp,NAN,"43,293"
First Quantum Minerals Ltd.,NAN,"20,000"
PT Bank Mandiri (Persero) Tbk,NAN,"37,840"
Beiersdorf AG,NAN,"20,567"
Sungrow Power Supply Co. Ltd,NAN,"4,492"
"Stanley Black & Decker, Inc.",NAN,"71,300"
Baoshan Iron & Steel Co. Ltd,NAN,"47,710"
Horizon Therapeutics Public Limited Company,NAN,"1,890"
Michelin,NAN,"118,400"
SSE plc,NAN,"11,865"
"Endesa, SA",NAN,"9,258"
"Ventas, Inc.",NAN,434
EVE Energy Co. Ltd,NAN,"9,669"
Splunk Inc.,NAN,"7,500"
"M3, Inc.",NAN,"8,249"
Entergy Corporation,NAN,"12,369"
STERIS plc,NAN,"13,000"
"Best Buy Co., Inc.",NAN,"57,750"
CSC Financial Co. Ltd,NAN,"9,994"
"Martin Marietta Materials, Inc.",NAN,"10,000"
ORIX Corporation,NAN,"33,153"
Schindler Holding AG,NAN,"69,015"
Public Joint Stock Company Polyus,NAN,NAN
"Church & Dwight Co., Inc.",NAN,"5,100"
"VeriSign, Inc.",NAN,902
"Diamondback Energy, Inc.",NAN,870
Seagen Inc.,NAN,"2,675"
Palantir Technologies Inc.,NAN,"2,920"
"Delta Air Lines, Inc.",NAN,"83,000"
"EDP Renováveis, SA",NAN,"2,114"
"Gartner, Inc.",NAN,"16,600"
CDW Corporation,NAN,"13,900"
The Mosaic Company,NAN,"12,525"
Skandinaviska Enskilda Banken AB,NAN,"15,500"
Galaxy Entertainment Group Ltd,NAN,"17,088"
Legrand SA,NAN,"38,207"
"Enphase Energy, Inc.",NAN,"2,260"
CK Asset Holdings Limited,NAN,"54,000"
Albemarle Corporation,NAN,"6,000"
FirstEnergy Corp.,NAN,"12,395"
Yanzhou Coal Mining Company Ltd,NAN,"63,869"
CLP Holdings Ltd,NAN,"7,061"
Straumann Holding AG,NAN,"8,692"
Lennar Corporation,NAN,"10,753"
Nan Ya Plastics Corp,NAN,NAN
"United Rentals, Inc.",NAN,"20,400"
Axis Bank Ltd,NAN,"86,266"
