CompanyName,MarketCap,EmployeesTotalAmount
Electronic Arts Inc.,37.38,NAN
Trane Technologies plc,37.36,NAN
SMC Corp,37.08,NAN
Parker-Hannifin Corporation,37.05,NAN
"Tokio Marine Holdings, Inc.",,NAN
Jiangsu Hengrui Medicine Co. Ltd,36.90,NAN
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",36.90,NAN
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,36.89,NAN
"DoorDash, Inc.",36.74,NAN
Shanghai Pudong Development Bank Co. Ltd,36.72,NAN
Constellation Software Inc.,36.67,NAN
Inner Mongolia Yili Industrial Group Co. Ltd,36.61,NAN
TELUS Corporation,36.37,NAN
Public Service Enterprise Group Incorporated,36.28,NAN
TransDigm Group Incorporated,36.14,NAN
"Waste Connections, Inc.",36.14,NAN
LyondellBasell Industries N.V.,35.96,NAN
Danone SA,35.93,NAN
"Cloudflare, Inc.",35.92,NAN
NIO Limited,35.86,NAN
"Coinbase Global, Inc.",35.86,NAN
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",35.84,NAN
Neste Oyj,35.57,NAN
ResMed Inc.,35.44,NAN
Experian plc,35.40,NAN
"Intuitive Surgical, Inc.",35.37,NAN
Woolworths Group Limited,35.33,NAN
MPLX LP,35.27,NAN
Telstra Corporation Limited,35.24,NAN
Hexagon AB ,35.21,NAN
Assicurazioni Generali,35.20,NAN
"AvalonBay Communities, Inc.",35.19,NAN
Imperial Oil Limited,35.13,NAN
"Yum! Brands, Inc.",35.12,NAN
Sun Hung Kai Properties Ltd,35.04,NAN
"Old Dominion Freight Line, Inc.",34.94,NAN
"Cheniere Energy, Inc.",34.92,NAN
"Consolidated Edison, Inc.",34.89,NAN
China CITIC Bank Corp Ltd,34.84,NAN
Budweiser Brewing Company APAC Ltd,34.73,NAN
ArcelorMittal,34.66,NAN
"Ameriprise Financial, Inc.",34.64,NAN
Fastenal Company,34.58,NAN
"Align Technology, Inc.",34.49,NAN
VERBUND AG,34.44,NAN
Sydney Airport Limited,,NAN
"Verisk Analytics, Inc.",34.39,NAN
Z Holdings Corp,34.24,NAN
Arthur J. Gallagher & Co.,34.22,NAN
Chongqing Zhifei Biological Products Co. Ltd,34.13,NAN
Equity Residential,34.11,NAN
"Chunghwa Telecom Co., Ltd.",34.06,NAN
"T. Rowe Price Group, Inc.",34.01,NAN
Halliburton Company,33.95,NAN
"Tyson Foods, Inc.",33.73,NAN
Discover Financial Services,33.73,NAN
Kuehne + Nagel International AG,33.69,NAN
FANUC Corp,33.68,NAN
MTR Corp Ltd,33.66,NAN
Poly Developments and Holdings Group Co. Ltd,33.64,NAN
KKR & Co. Inc.,33.49,NAN
"Mizuho Financial Group, Inc.",33.47,NAN
PTT PCL,33.46,NAN
Koninklijke Ahold Delhaize N.V.,33.43,NAN
China Vanke Co. Ltd,33.35,NAN
International Flavors & Fragrances Inc.,33.32,NAN
Telefonaktiebolaget LM Ericsson,33.29,NAN
China Resources Land Ltd,33.26,NAN
"Zoom Video Communications, Inc.",33.22,NAN
Otis Worldwide Corporation,33.09,NAN
Sun Life Financial Inc.,33.08,NAN
"Rockwell Automation, Inc.",33.05,NAN
Aptiv PLC,33.02,NAN
Cenovus Energy Inc.,33.02,NAN
Deutsche Börse AG,32.99,NAN
Orange SA,32.84,NAN
Hess Corporation,32.81,NAN
NatWest Group plc,32.72,NAN
"Ross Stores, Inc.",32.71,NAN
"WEC Energy Group, Inc.",32.54,NAN
AmerisourceBergen Corporation,32.51,NAN
China Overseas Land & Investment Ltd,32.49,NAN
WuXi Biologics ,32.41,NAN
CITIC Ltd,32.33,NAN
"Cellnex Telecom, SA",32.32,NAN
Haier Smart Home Co Ltd,32.31,NAN
Singapore Telecommunications Ltd,32.23,NAN
ANTA Sports Products Ltd,32.20,NAN
Barclays plc,32.19,NAN
Brown-Forman Corporation,32.07,NAN
WEG SA,32.05,NAN
PACCAR Inc,32.04,NAN
Great Wall Motor Co Ltd,32.01,NAN
Longfor Group Holdings Ltd,31.98,NAN
"JAPAN POST BANK Co.,Ltd.",31.93,NAN
"PPG Industries, Inc.",31.89,NAN
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,31.78,NAN
Mettler-Toledo International Inc.,31.78,NAN
"ONEOK, Inc.",31.66,NAN
Goodman Group,31.64,NAN
Corning Incorporated,31.60,NAN
"Japan Tobacco, Inc.",31.59,NAN
Foxconn Industrial Internet Co. Ltd,31.58,NAN
Eversource Energy,31.56,NAN
China Telecom Corp Ltd,31.49,NAN
CRH plc,31.45,NAN
Japan Post Holdings Co. Ltd,31.41,NAN
Biogen Inc.,31.35,NAN
Swisscom AG,31.26,NAN
Koninklijke DSM N.V.,31.25,NAN
Formosa Petrochemical Corp,31.22,NAN
Zhangzhou Pientzehuang Pharmaceutical. Ltd,31.17,NAN
"AMETEK, Inc.",31.15,NAN
E.ON SE,31.12,NAN
China Pacific Insurance ,31.04,NAN
"Zscaler, Inc.",31.03,NAN
Anhui Conch Cement Company Ltd,31.02,NAN
Franco-Nevada Corporation,31.00,NAN
Engie SA,31.00,NAN
State Street Corporation,30.95,NAN
SAIC Motor Corp Ltd,30.93,NAN
Nokia Corporation,30.91,NAN
"Twitter, Inc.",30.83,NAN
Veeva Systems Inc.,30.76,NAN
Loblaw Companies Limited,30.70,NAN
Energy Transfer LP,30.69,NAN
Henkel AG & Co KGaA,30.53,NAN
"Coupang, Inc.",30.53,NAN
Ferguson plc,30.52,NAN
BAE Systems plc,30.51,NAN
Fifth Third Bancorp,30.46,NAN
"CBRE Group, Inc.",30.45,NAN
"American Water Works Company, Inc.",30.43,NAN
Fujitsu Ltd,30.28,NAN
"West Pharmaceutical Services, Inc.",30.23,NAN
Compagnie de Saint-Gobain SA,30.16,NAN
"Alexandria Real Estate Equities, Inc.",30.10,NAN
ASSA ABLOY AB ,30.05,NAN
Cummins Inc.,29.94,NAN
Vestas Wind Systems A-S,29.93,NAN
Riyad Bank,29.86,NAN
Willis Towers Watson plc,,NAN
"Match Group, Inc.",29.82,NAN
KBC Group NV,29.81,NAN
UniCredit S.p.A.,,NAN
