CompanyName,MarketCap,EmployeesTotalAmount
bechtle ag,8.475,11487
warehouses de pauw,8.440,NAN
dws group gmbh & co. kgaa,8.440,3600
adecco group ag,8.426,30264
la francaise des jeux societe anonyme,8.376,NAN
vtb bank,8.283,NAN
telefonica deutschland holding ag,8.281,8500
jazz pharmaceuticals,8.263,1620
b&m european value retail,8.242,32000
intermediate capital group,8.241,NAN
ctp n.v.,8.231,NAN
fresnillo,8.210,5510
dcc,8.206,12773
lpp sa,8.205,NAN
komercni banka,8.192,NAN
grandvision,8.164,33681
swire pacific,8.125,130716
rockwool international a/s,8.120,11700
schibsted asa,8.105,5182
bank of ireland group,8.068,9211
unipolsai assicurazioni,8.042,NAN
holmen aktiebolag (publ.),8.010,NAN
salmar asa,7.995,1702
endava,7.965,6624
meggitt,7.937,10000
covivio,7.885,NAN
oxford nanopore technologies plc,7.845,628
land securities group,7.833,530
hella gmbh & co. kgaa,7.827,39000
baloise holding ag,7.821,NAN
wacker chemie ag,7.800,14542
ipsen,7.703,5700
wizz air holdings,7.695,NAN
gn store nord a/s,7.624,6525
beijer ref ab (publ),7.611,NAN
electrocomponents,7.604,7044
valeo sa,7.584,110300
trelleborg ab (publ),7.533,22209
m&g plc,7.512,5961
ds smith,7.502,29300
belimo holding ag,7.500,NAN
interpump group,7.483,7418
kobenhavns lufthavne a/s,7.478,NAN
sixt se,7.446,8500
magnit,7.445,300000
evotec se,7.422,3030
banca mediolanum,7.400,2321
cts eventim ag & co. kgaa,7.397,3202
datwyler holding,7.339,7000
howden joinery group,7.336,10000
aalberts nv,7.327,16094
klepierre sa,7.308,1100
pirelli & c. s.p.a.,7.306,31575
pirelli & c,7.301,31600
united internet ag,7.300,9638
janus henderson group,7.286,2000
swiss prime site ag,7.283,NAN
gsw immobilien ag,7.277,NAN
abrdn plc,7.267,6029
berkeley group holdings,7.254,2709
thyssenkrupp ag,7.243,103598
acs actividades de construccion y servicios,7.216,65000
kghm polska miedz,7.184,18444
fluidra,7.182,5500
x5 retail group,7.143,339716
aib group,7.131,9520
airtel africa,7.094,3300
british land company,7.090,783
aroundtown sa,7.077,500
vsmpo-avisma corporation,7.030,NAN
royal mail,7.026,177047
aker asa,7.026,28000
vitrolife ab (publ),7.009,NAN
clariant ag,6.968,NAN
mobile telesystems,6.920,58415
novocure,6.878,1023
voestalpine ag,6.864,49000
marks and spencer group,6.830,NAN
ab electrolux (publ),6.815,48000
reply,6.809,9059
hunter douglas,6.791,22000
faurecia s.e,6.746,104739
