CompanyName,MarketCap,EmployeesTotalAmount
PROGRESSIVE CORPORATION,63.805,49000
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,63.571,10780
MEDIATEK,63.350,17377
KLA CORPORATION,63.213,11550
NORTHROP GRUMMAN CORPORATION,63.001,88000
FERRARI,62.961,4556
WAL-MART DE MEXICO,62.573,239000
WORKDAY,62.560,12500
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,62.482,9819
PUBLIC STORAGE,62.411,5800
HDFC,62.404,3226
AON,62.305,50000
RECKITT BENCKISER GROUP,62.297,43000
BAJAJ FINANCE,61.948,26969
FREEPORT-MCMORAN,61.500,24700
BANCO SANTANDER,61.025,191189
"COINBASE GLOBAL, INC",60.847,3730
AB VOLVO,60.845,95850
VINCI,60.651,217731
PERNOD RICARD,60.061,18500
BOSTON SCIENTIFIC CORPORATION,60.006,41000
SAUDI TELECOM COMPANY (STC),59.860,17000
ANGLO AMERICAN,59.386,90000
INFINEON TECHNOLOGIES AG,59.352,50288
PJSC LUKOIL,59.246,101000
SOFTBANK CORP.,59.235,47313
GENERAL DYNAMICS CORPORATION,59.220,103100
SCENTRE GROUP,59.068,2700
NXP SEMICONDUCTORS,58.859,31000
STATE BANK OF INDIA,58.772,245642
RELX,58.743,33500
XIAOMI CORPORATION,58.447,33427
MACQUARIE GROUP,116.670,17209
ILLUMINA,57.887,7800
AUTODESK,57.703,11500
LONZA GROUP,57.618,16218
ANZ BANKING GROUP,57.484,37506
EOG RESOURCES,57.432,2800
CHINA TELECOM CORPORATION,57.142,281192
WESTPAC BANKING CORPORATION,57.029,40143
EMERSON ELECTRIC COMPANY,57.002,86700
METLIFE,56.576,43000
VERTEX PHARMACEUTICALS,56.406,3900
SHANXI XINGHUACUN FEN WINE FACTORY,56.401,9276
ING GROUP,56.183,57000
HITACHI,56.145,380714
HAPAG-LLOYD,55.995,14100
CANADIAN IMPERIAL BANK OF COMMERCE,55.942,45282
JOHNSON CONTROLS INTERNATIONAL,55.832,101000
"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",55.655,NAN
CANADIAN NATURAL RESOURCES,55.652,9709
VERBUND AG,55.641,2980
SIKA AG,55.610,24848
EXELON CORPORATION,55.412,31518
OPEN JOINT STOCK COMPANY OMZ,55.251,NAN
DOLLAR GENERAL CORPORATION,55.209,158000
FIRST ABU DHABI BANK,55.050,5451
PACIFICORP,55.002,5300
THOMSON REUTERS CORPORATION,54.854,45000
ADIDAS,54.843,62285
EAST MONEY INFORMATION,54.824,4553
MERCADOLIBRE,54.766,15500
NINTENDO,54.630,6574
BAYER,54.460,99538
SAFRAN,54.377,76800
LUZHOU LAOJIAO,54.324,3228
MARRIOTT INTERNATIONAL,54.278,120000
WIPRO,54.257,231671
INTESA SANPAOLO,53.948,105615
GREAT WALL MOTOR COMPANY,53.655,63174
FAST RETAILING,53.635,57727
LONDON STOCK EXCHANGE GROUP,53.536,24158
HON HAI PRECISION INDUSTRY,53.431,601276
BAIDU,53.368,41000
CHUGAI PHARMACEUTICAL,52.995,7664
SIMON PROPERTY GROUP,52.996,3300
KEURIG DR PEPPER,52.890,27500
S.F. HOLDING,52.740,121925
IKEA,NAN,211000
DSV PANALPINA,52.508,56000
PING AN BANK,52.303,38600
NATIONAL GRID TRANSCO,52.115,23683
PALO ALTO NETWORKS,51.848,10473
TE CONNECTIVITY,51.743,89000
ENI S.P.A.,51.734,31495
LUXSHARE PRECISION INDUSTRY,51.647,137284
BHARTI AIRTEL,51.523,17917
THE BANK OF NEW YORK MELLON CORPORATION,51.473,49100
FORTINET,51.447,9700
BIONTECH SE,51.375,1941
HOYA CORPORATION,51.220,37245
QATAR NATIONAL BANK,51.151,28000
ZOOM VIDEO COMMUNICATIONS,51.136,6269
ENTERPRISE PRODUCTS PARTNERS,51.062,7130
BANK OF COMMUNICATIONS,51.057,87828
JIANGSU HENGRUI MEDICINE,50.995,24431
LLOYDS BANKING GROUP,51.001,61576
HONDA MOTOR,50.891,211374
MURATA MANUFACTURING,50.865,75184
SYNOPSYS,50.690,16361
WANHUA CHEMICAL GROUP,50.602,15392
VMWARE,50.552,34000
ORIENTAL LAND,50.537,8034
KOTAK MAHINDRA BANK,50.491,71000
AMERICAN INTERNATIONAL GROUP (AIG),50.432,36600
IHS MARKIT,50.254,16000
WUXI APPTEC,50.136,33305
ACTIVISION BLIZZARD,49.880,9800
MONSTER BEVERAGE CORPORATION,49.771,4092
FIRST GULF BANK,NAN,NAN
SOUTHERN COPPER CORPORATION,49.748,13777
NORDEA BANK ABP,49.607,28051
PRUDENTIAL,49.339,18687
SUMITOMO MITSUI FINANCIAL GROUP,49.238,86800
CNOOC LIMITED,49.168,18703
SCHLUMBERGER,49.134,92000
AMPHENOL CORPORATION,49.110,90000
IQVIA HOLDINGS,49.080,79000
ROBLOX CORP,48.836,1600
CITIC SECURITIES COMPANY,48.789,11380
ROPER TECHNOLOGIES,48.674,18400
PIONEER NATURAL RESOURCES COMPANY,48.600,1932
KIMBERLY-CLARK CORPORATION,48.400,45000
EQT AB (PUBL),48.284,710
XILINX,48.220,4891
MITSUBISHI CORPORATION,48.174,82997
TC ENERGY CORPORATION,47.883,7283
EDEKA GROUP,NAN,402000
WESFARMERS,47.592,122000
BARCLAYS PLC,47.535,83000
BCE (Bell Canada Enterprises),47.394,52100
NEWMONT CORPORATION,47.392,14400
3I GROUP,47.296,282
MMC NORILSK NICKEL,47.226,75901
HCL TECHNOLOGIES,46.927,210966
ORSTED A/S,46.812,6429
HUMANA,46.680,95500
IDEXX LABORATORIES,46.662,10350
NIO INC,46.604,7763
SAMSUNG BIOLOGICS,46.573,2730
WALGREENS BOOTS ALLIANCE,46.515,277000
PAYCHEX,46.480,15000
MUYUAN FOODS,46.401,50319
CREDIT AGRICOLE,46.250,73037
CONSTELLATION BRANDS,46.220,9300
GIVAUDAN SA,46.065,16842
CADENCE DESIGN SYSTEMS,46.011,9300
O'REILLY AUTOMOTIVE,45.969,83636
ASIAN PAINTS,45.949,7600
LULULEMON ATHLETICA,45.928,25000
SPACEX,NAN,9500
STRIPE,NAN,7802
COGNIZANT TECHNOLOGY SOLUTIONS,45.918,330600
