CompanyName,MarketCap,EmployeesTotalAmount
Mitsubishi Corp,57.23 B,NAN
Canadian Imperial Bank of Commerce,57.20 B,NAN
"Marriott International, Inc.",57.18 B,NAN
Pinduoduo Inc.,57.09 B,NAN
IHS Markit Ltd.,56.94 B,NAN
The Saudi National Bank,56.89 B,NAN
TC Energy Corporation,56.77 B,NAN
Humana Inc.,56.55 B,NAN
KLA Corporation,56.48 B,NAN
Bank of Communications Co. Ltd,56.38 B,NAN
Bayerische Motoren Werke AG,56.17 B,NAN
Macquarie Group Limited,55.99 B,NAN
National Grid plc,55.88 B,NAN
"Daikin Industries,Ltd.",55.58 B,NAN
Chugai Pharmaceutical Co. Ltd,55.31 B,NAN
Keurig Dr Pepper Inc.,55.28 B,NAN
Ergo Science Corp,55.23 B,NAN
SoftBank Group Corp.,54.93 B,NAN
Heineken N.V.,54.87 B,NAN
Ambev SA,54.69 B,NAN
Canadian Pacific Railway Limited,54.59 B,NAN
Marathon Petroleum Corporation,54.54 B,NAN
"American International Group, Inc.",54.31 B,NAN
Dollar General Corporation,54.30 B,NAN
"Fortinet, Inc.",53.86 B,NAN
Snap Inc.,53.86 B,NAN
Ferrari N.V.,53.78 B,NAN
Lonza Group Ltd,53.76 B,NAN
London Stock Exchange Group plc,53.33 B,NAN
Thomson Reuters Corporation,53.30 B,NAN
BASF SE,52.76 B,NAN
Sempra Energy,52.47 B,NAN
Occidental Petroleum Corporation,52.30 B,NAN
"Liberty Bancshares, Inc. (OH)",52.30 B,NAN
Fast Retailing Co. Ltd,52.29 B,NAN
NXP Semiconductors N.V.,52.28 B,NAN
"Xilinx, Inc.",52.19 B,NAN
ITOCHU Corp,52.19 B,NAN
Eni S.p.A.,52.00 B,NAN
Stellantis N.V.,51.80 B,NAN
BCE Inc.,51.71 B,NAN
DENSO Corp,51.58 B,NAN
Toyota Motor Corporation,51.55 B,NAN
"L3Harris Technologies, Inc.",51.51 B,NAN
"AgriBank, FCB",51.49 B,NAN
General Accident plc,51.43 B,NAN
Archer-Daniels-Midland Company,51.03 B,NAN
"American Electric Power Company, Inc.",50.95 B,NAN
Fortescue Metals Group Limited,50.76 B,NAN
Hon Hai Precision Industry Co. Ltd,50.75 B,NAN
China Tourism Group Duty Free Corp Ltd,50.46 B,NAN
Ecolab Inc.,50.29 B,NAN
Novatek PJSC,50.19 B,NAN
"Synopsys, Inc.",50.18 B,NAN
Safran SA,50.02 B,NAN
"Illumina, Inc.",49.91 B,NAN
"MercadoLibre, Inc.",49.83 B,NAN
"Roper Technologies, Inc.",49.66 B,NAN
The Kraft Heinz Company,49.42 B,NAN
Centene Corporation,49.32 B,NAN
"Paychex, Inc.",49.23 B,NAN
"Honda Motor Co., Ltd.",49.11 B,NAN
Hitachi Ltd,48.92 B,NAN
Scentre Group,48.83 B,NAN
"MediaTek, Inc.",48.74 B,NAN
Lululemon Athletica Inc.,48.52 B,NAN
Dow Inc.,48.50 B,NAN
Rosneft Oil Co PJSC,48.50 B,NAN
McKesson Corporation,48.46 B,NAN
Suncor Energy Inc.,48.27 B,NAN
"VMware, Inc.",48.17 B,NAN
Johnson Controls International plc,48.15 B,NAN
"O'Reilly Automotive, Inc.",48.14 B,NAN
Grupo Mexico SAB de CV,48.00 B,NAN
"CrowdStrike Holdings, Inc.",47.89 B,NAN
Naspers Ltd,47.73 B,NAN
"Autodesk, Inc.",47.69 B,NAN
"Prudential Financial, Inc.",47.17 B,NAN
Open Joint Stock Company OMZ,47.15 B,NAN
Cognizant Technology Solutions Corporation,47.07 B,NAN
Nucor Corporation,46.86 B,NAN
"DexCom, Inc.",46.86 B,NAN
Banco Bradesco SA,46.71 B,NAN
Nidec Corp,46.33 B,NAN
adidas AG,46.13 B,NAN
Sika AG,46.01 B,NAN
"Baidu, Inc.",45.98 B,NAN
Takeda Pharmaceutical Company Limited,45.89 B,NAN
The Hershey Company,45.83 B,NAN
Amphenol Corporation,45.77 B,NAN
Vanjia Corp,45.74 B,NAN
Vodafone Group plc,45.74 B,NAN
"IDEXX Laboratories, Inc.",45.64 B,NAN
"The Travelers Companies, Inc.",45.56 B,NAN
Infineon Technologies AG,45.35 B,NAN
"Constellation Brands, Inc.",45.21 B,NAN
"Datadog, Inc.",45.13 B,NAN
Mitsui & Co. Ltd,45.09 B,NAN
Saudi Arabian Mining Company,45.00 B,NAN
PJSC Lukoil,44.96 B,NAN
Intesa Sanpaolo S.p.A.,44.95 B,NAN
TE Connectivity Ltd.,44.78 B,NAN
"AutoZone, Inc.",44.39 B,NAN
IQVIA Holdings Inc.,44.32 B,NAN
Cintas Corporation,44.32 B,NAN
"Cadence Design Systems, Inc.",44.23 B,NAN
"Chipotle Mexican Grill, Inc.",44.11 B,NAN
"Sumitomo Mitsui Financial Group, Inc.",44.06 B,NAN
"Samsung Biologics Co.,Ltd.",44.01 B,NAN
Wipro Limited,43.98 B,NAN
Zijin Mining Group Co Ltd,43.93 B,NAN
HP Inc.,43.90 B,NAN
Lloyds Banking Group plc,43.70 B,NAN
"Simon Property Group, Inc.",43.69 B,NAN
Aflac Incorporated,43.59 B,NAN
Barrick Gold Corporation,43.50 B,NAN
Murata Manufacturing Co. Ltd,43.41 B,NAN
"Kinder Morgan, Inc.",43.38 B,NAN
Kimberly-Clark Corporation,43.21 B,NAN
Xiaomi Corp,43.10 B,NAN
Wesfarmers Limited,43.09 B,NAN
"Republic Services, Inc.",42.91 B,NAN
HOYA Corp,42.88 B,NAN
Yihai Kerry Arawana Holdings Co. Ltd,42.84 B,NAN
Monster Beverage Corporation,42.81 B,NAN
LONGi Green Energy Technology Co. Ltd,42.68 B,NAN
"Corteva, Inc.",42.66 B,NAN
"General Mills, Inc.",42.65 B,NAN
Seven & i Holdings Co. Ltd,42.53 B,NAN
DSV PANALPINA A-S,42.49 B,NAN
Hilton Worldwide Holdings Inc.,42.39 B,NAN
WuXi AppTec Co. Ltd,42.25 B,NAN
Sysco Corporation,42.22 B,NAN
The Kroger Co.,42.03 B,NAN
Manulife Financial Corporation,41.98 B,NAN
BioNTech SE,41.93 B,NAN
STMicroelectronics N.V.,41.91 B,NAN
Devon Energy Corporation,41.82 B,NAN
"The Williams Companies, Inc.",41.60 B,NAN
The Allstate Corporation,41.54 B,NAN
Hang Seng Bank Limited,41.47 B,NAN
Valero Energy Corporation,41.27 B,NAN
ING Groep N.V.,41.25 B,NAN
MMC Norilsk Nickel PJSC,41.16 B,NAN
"Motorola Solutions, Inc.",40.87 B,NAN
"East Money Information Co.,Ltd.",40.83 B,NAN
The Bank of New York Mellon Corporation,40.83 B,NAN
Carrier Global Corporation,40.79 B,NAN
Oversea-Chinese Banking Corp Ltd,40.77 B,NAN
"Digital Realty Trust, Inc.",40.64 B,NAN
"Walgreens Boots Alliance, Inc.",40.55 B,NAN
"Agilent Technologies, Inc.",40.49 B,NAN
Global Payments Inc.,40.35 B,NAN
CITIC Securities Company Ltd,40.17 B,NAN
Baxter International Inc.,40.13 B,NAN
BOC Hong Kong Holdings Ltd,39.99 B,NAN
MSCI Inc.,39.97 B,NAN
Welltower Inc.,39.96 B,NAN
Xcel Energy Inc.,39.76 B,NAN
United Overseas Bank Ltd,39.73 B,NAN
Wanhua Chemical Group Co. Ltd,39.73 B,NAN
"DuPont de Nemours, Inc.",39.72 B,NAN
EQT AB,39.71 B,NAN
Alimentation Couche-Tard Inc.,39.56 B,NAN
eBay Inc.,39.34 B,NAN
Givaudan SA,39.29 B,NAN
Novozymes A-S,39.03 B,NAN
Prudential plc,39.00 B,NAN
Alcon Inc.,38.90 B,NAN
Ecopetrol SA,38.69 B,NAN
Baker Hughes Company,38.39 B,NAN
"Banco Bilbao Vizcaya Argentaria, SA",38.25 B,NAN
Dell Technologies Inc.,38.16 B,NAN
Kuaishou Technology,38.15 B,NAN
AB Volvo,38.13 B,NAN
Crédit Agricole SA,38.01 B,NAN
"Dollar Tree, Inc.",38.00 B,NAN
SBA Communications Corporation,37.93 B,NAN
Capgemini SE,37.82 B,NAN
Daiichi Sankyo Company Ltd,37.79 B,NAN
Compass Group plc,37.73 B,NAN
Sartorius Stedim Biotech SA,37.55 B,NAN
PT Bank Rakyat Indonesia (Persero) Tbk,37.51 B,NAN
Phillips 66,37.51 B,NAN
Electronic Arts Inc.,37.38 B,NAN
Trane Technologies plc,37.36 B,NAN
SMC Corp,37.08 B,NAN
Parker-Hannifin Corporation,37.05 B,NAN
"Tokio Marine Holdings, Inc.",36.99 B,NAN
Jiangsu Hengrui Medicine Co. Ltd,36.90 B,NAN
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",36.90 B,NAN
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,36.89 B,NAN
"DoorDash, Inc.",36.74 B,NAN
Shanghai Pudong Development Bank Co. Ltd,36.72 B,NAN
Constellation Software Inc.,36.67 B,NAN
Inner Mongolia Yili Industrial Group Co. Ltd,36.61 B,NAN
TELUS Corporation,36.37 B,NAN
Public Service Enterprise Group Incorporated,36.28 B,NAN
TransDigm Group Incorporated,36.14 B,NAN
"Waste Connections, Inc.",36.14 B,NAN
LyondellBasell Industries N.V.,35.96 B,NAN
Danone SA,35.93 B,NAN
"Cloudflare, Inc.",35.92 B,NAN
NIO Limited,35.86 B,NAN
"Coinbase Global, Inc.",35.86 B,NAN
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",35.84 B,NAN
Neste Oyj,35.57 B,NAN
ResMed Inc.,35.44 B,NAN
Experian plc,35.40 B,NAN
"Intuitive Surgical, Inc.",35.37 B,NAN
Woolworths Group Limited,35.33 B,NAN
MPLX LP,35.27 B,NAN
Telstra Corporation Limited,35.24 B,NAN
Hexagon AB,35.21 B,NAN
Assicurazioni Generali,35.20 B,NAN
"AvalonBay Communities, Inc.",35.19 B,NAN
Imperial Oil Limited,35.13 B,NAN
"Yum! Brands, Inc.",35.12 B,NAN
Sun Hung Kai Properties Ltd,35.04 B,NAN
"Old Dominion Freight Line, Inc.",34.94 B,NAN
"Cheniere Energy, Inc.",34.92 B,NAN
"Consolidated Edison, Inc.",34.89 B,NAN
China CITIC Bank Corp Ltd,34.84 B,NAN
Budweiser Brewing Company APAC Ltd,34.73 B,NAN
ArcelorMittal,34.66 B,NAN
"Ameriprise Financial, Inc.",34.64 B,NAN
Fastenal Company,34.58 B,NAN
"Align Technology, Inc.",34.49 B,NAN
VERBUND AG,34.44 B,NAN
Sydney Airport Limited,34.40 B,NAN
"Verisk Analytics, Inc.",34.39 B,NAN
Z Holdings Corp,34.24 B,NAN
Arthur J. Gallagher & Co.,34.22 B,NAN
Chongqing Zhifei Biological Products Co. Ltd,34.13 B,NAN
Equity Residential,34.11 B,NAN
"Chunghwa Telecom Co., Ltd.",34.06 B,NAN
"T. Rowe Price Group, Inc.",34.01 B,NAN
Halliburton Company,33.95 B,NAN
"Tyson Foods, Inc.",33.73 B,NAN
Discover Financial Services,33.73 B,NAN
Kuehne + Nagel International AG,33.69 B,NAN
FANUC Corp,33.68 B,NAN
MTR Corp Ltd,33.66 B,NAN
Poly Developments and Holdings Group Co. Ltd,33.64 B,NAN
KKR & Co. Inc.,33.49 B,NAN
"Mizuho Financial Group, Inc.",33.47 B,NAN
PTT PCL,33.46 B,NAN
Koninklijke Ahold Delhaize N.V.,33.43 B,NAN
China Vanke Co. Ltd,33.35 B,NAN
International Flavors & Fragrances Inc.,33.32 B,NAN
Telefonaktiebolaget LM Ericsson,33.29 B,NAN
China Resources Land Ltd,33.26 B,NAN
"Zoom Video Communications, Inc.",33.22 B,NAN
Otis Worldwide Corporation,33.09 B,NAN
Sun Life Financial Inc.,33.08 B,NAN
"Rockwell Automation, Inc.",33.05 B,NAN
Aptiv PLC,33.02 B,NAN
Cenovus Energy Inc.,33.02 B,NAN
Deutsche Börse AG,32.99 B,NAN
Orange SA,32.84 B,NAN
Hess Corporation,32.81 B,NAN
NatWest Group plc,32.72 B,NAN
"Ross Stores, Inc.",32.71 B,NAN
"WEC Energy Group, Inc.",32.54 B,NAN
AmerisourceBergen Corporation,32.51 B,NAN
China Overseas Land & Investment Ltd,32.49 B,NAN
WuXi Biologics,32.41 B,NAN
CITIC Ltd,32.33 B,NAN
"Cellnex Telecom, SA",32.32 B,NAN
Haier Smart Home Co Ltd,32.31 B,NAN
Singapore Telecommunications Ltd,32.23 B,NAN
ANTA Sports Products Ltd,32.20 B,NAN
Barclays plc,32.19 B,NAN
Brown-Forman Corporation,32.07 B,NAN
WEG SA,32.05 B,NAN
PACCAR Inc,32.04 B,NAN
Great Wall Motor Co Ltd,32.01 B,NAN
Longfor Group Holdings Ltd,31.98 B,NAN
"JAPAN POST BANK Co.,Ltd.",31.93 B,NAN
"PPG Industries, Inc.",31.89 B,NAN
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,31.78 B,NAN
Mettler-Toledo International Inc.,31.78 B,NAN
"ONEOK, Inc.",31.66 B,NAN
Goodman Group,31.64 B,NAN
Corning Incorporated,31.60 B,NAN
"Japan Tobacco, Inc.",31.59 B,NAN
Foxconn Industrial Internet Co. Ltd,31.58 B,NAN
Eversource Energy,31.56 B,NAN
China Telecom Corp Ltd,31.49 B,NAN
CRH plc,31.45 B,NAN
Japan Post Holdings Co. Ltd,31.41 B,NAN
Biogen Inc.,31.35 B,NAN
Swisscom AG,31.26 B,NAN
Koninklijke DSM N.V.,31.25 B,NAN
Formosa Petrochemical Corp,31.22 B,NAN
Zhangzhou Pientzehuang Pharmaceutical. Ltd,31.17 B,NAN
"AMETEK, Inc.",31.15 B,NAN
E.ON SE,31.12 B,NAN
China Pacific Insurance,31.04 B,NAN
"Zscaler, Inc.",31.03 B,NAN
Anhui Conch Cement Company Ltd,31.02 B,NAN
Franco-Nevada Corporation,31.00 B,NAN
Engie SA,31.00 B,NAN
State Street Corporation,30.95 B,NAN
SAIC Motor Corp Ltd,30.93 B,NAN
Nokia Corporation,30.91 B,NAN
"Twitter, Inc.",30.83 B,NAN
Veeva Systems Inc.,30.76 B,NAN
Loblaw Companies Limited,30.70 B,NAN
Energy Transfer LP,30.69 B,NAN
Henkel AG & Co KGaA,30.53 B,NAN
"Coupang, Inc.",30.53 B,NAN
Ferguson plc,30.52 B,NAN
BAE Systems plc,30.51 B,NAN
Fifth Third Bancorp,30.46 B,NAN
"CBRE Group, Inc.",30.45 B,NAN
"American Water Works Company, Inc.",30.43 B,NAN
Fujitsu Ltd,30.28 B,NAN
"West Pharmaceutical Services, Inc.",30.23 B,NAN
Compagnie de Saint-Gobain SA,30.16 B,NAN
"Alexandria Real Estate Equities, Inc.",30.10 B,NAN
ASSA ABLOY AB,30.05 B,NAN
Cummins Inc.,29.94 B,NAN
Vestas Wind Systems A-S,29.93 B,NAN
Riyad Bank,29.86 B,NAN
Willis Towers Watson plc,29.85 B,NAN
"Match Group, Inc.",29.82 B,NAN
KBC Group NV,29.81 B,NAN
UniCredit S.p.A.,29.65 B,NAN
Cathay Financial Holding Co. Ltd,29.58 B,NAN
"Copart, Inc.",29.58 B,NAN
Spotify Technology SA,29.56 B,NAN
"Nasdaq, Inc.",29.52 B,NAN
