CompanyName,MarketCap,EmployeesTotalAmount
Sika AG,46.01,"26,272"
adidas AG,46.13,"53,870"
Nidec Corp,46.33,758
Banco Bradesco SA,46.71,"85,264"
"DexCom, Inc.",46.86,"6,300"
Nucor Corporation,46.86,"28,800"
Cognizant Technology Solutions Corporation,47.07,"330,600"
Open Joint Stock Company OMZ,47.15,NAN
"Prudential Financial, Inc.",47.17,"40,916"
"Autodesk, Inc.",47.69,"12,600"
Naspers Ltd,47.73,"28,445"
"CrowdStrike Holdings, Inc.",47.89,"4,965"
Grupo Mexico SAB de CV,48.00,"29,707"
"O'Reilly Automotive, Inc.",48.14,"82,852"
Johnson Controls International plc,48.15,"101,000"
"VMware, Inc.",48.17,"34,000"
Suncor Energy Inc.,48.27,"16,922"
McKesson Corporation,48.46,"59,000"
Rosneft Oil Co PJSC,48.50,NAN
Dow Inc.,48.50,"35,700"
Lululemon Athletica Inc.,48.52,"25,000"
"MediaTek, Inc.",48.74,NAN
Scentre Group,48.83,"2,780"
Hitachi Ltd,48.92,"350,864"
Wanhua Chemical Group Co. Ltd,39.73,"19,692"
United Overseas Bank Ltd,39.73,"24,346"
Xcel Energy Inc.,39.76,"11,321"
Welltower Inc.,39.96,464
MSCI Inc.,39.97,"4,303"
BOC Hong Kong Holdings Ltd,39.99,"14,462"
Baxter International Inc.,40.13,"60,000"
CITIC Securities Company Ltd,40.17,"11,380"
Global Payments Inc.,40.35,"25,000"
"Agilent Technologies, Inc.",40.49,"17,200"
"Walgreens Boots Alliance, Inc.",40.55,"202,000"
"Digital Realty Trust, Inc.",40.64,"3,030"
Oversea-Chinese Banking Corp Ltd,40.77,"29,622"
Carrier Global Corporation,40.79,"58,000"
The Bank of New York Mellon Corporation,40.83,"49,100"
"East Money Information Co.,Ltd.",40.83,"5,696"
"Motorola Solutions, Inc.",40.87,"18,700"
MMC Norilsk Nickel PJSC,41.16,NAN
ING Groep N.V.,41.25,"57,000"
Valero Energy Corporation,41.27,"9,794"
Hang Seng Bank Limited,41.47,"9,396"
The Allstate Corporation,41.54,"54,300"
"The Williams Companies, Inc.",41.60,"4,783"
Devon Energy Corporation,41.82,"1,600"
STMicroelectronics N.V.,41.91,"48,254"
BioNTech SE,41.93,"2,800"
Manulife Financial Corporation,41.98,"38,000"
The Kroger Co.,42.03,"500,000"
Sysco Corporation,42.22,"58,000"
WuXi AppTec Co. Ltd,42.25,"34,912"
Hilton Worldwide Holdings Inc.,42.39,"142,000"
DSV PANALPINA A-S,42.49,"77,958"
Seven & i Holdings Co. Ltd,42.53,"58,975"
"General Mills, Inc.",42.65,"35,000"
"Corteva, Inc.",42.66,"21,000"
LONGi Green Energy Technology Co. Ltd,42.68,"46,631"
Monster Beverage Corporation,42.81,"3,458"
Yihai Kerry Arawana Holdings Co. Ltd,42.84,"34,389"
HOYA Corp,42.88,"37,245"
"Republic Services, Inc.",42.91,"35,000"
Wesfarmers Limited,43.09,"122,000"
Xiaomi Corp,43.10,"33,427"
Kimberly-Clark Corporation,43.21,"45,000"
"Kinder Morgan, Inc.",43.38,"10,529"
Murata Manufacturing Co. Ltd,43.41,"77,398"
Barrick Gold Corporation,43.50,"18,421"
Aflac Incorporated,43.59,"12,447"
"Simon Property Group, Inc.",43.69,"2,400"
Lloyds Banking Group plc,43.70,"57,955"
Woolworths Group Limited,35.33,"210,067"
"Intuitive Surgical, Inc.",35.37,"9,793"
Experian plc,35.40,"20,000"
ResMed Inc.,35.44,"7,970"
Neste Oyj,35.57,"4,719"
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",35.84,"12,614"
"Coinbase Global, Inc.",35.86,"3,730"
NIO Limited,35.86,"7,763"
"Cloudflare, Inc.",35.92,"2,440"
Danone SA,35.93,"98,105"
LyondellBasell Industries N.V.,35.96,"19,100"
"Waste Connections, Inc.",36.14,"19,998"
TransDigm Group Incorporated,36.14,"13,300"
Public Service Enterprise Group Incorporated,36.28,"12,684"
TELUS Corporation,36.37,"90,800"
Inner Mongolia Yili Industrial Group Co. Ltd,36.61,"59,159"
Constellation Software Inc.,36.67,"16,000"
Shanghai Pudong Development Bank Co. Ltd,36.72,"61,686"
"DoorDash, Inc.",36.74,"8,600"
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,36.89,"39,281"
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",36.90,57
Jiangsu Hengrui Medicine Co. Ltd,36.90,"28,903"
"Tokio Marine Holdings, Inc.",36.99,"43,257"
Parker-Hannifin Corporation,37.05,"54,640"
SMC Corp,37.08,"20,619"
Trane Technologies plc,37.36,"37,000"
Phillips 66,37.51,"14,000"
Electronic Arts Inc.,37.38,"11,000"
PT Bank Rakyat Indonesia (Persero) Tbk,37.51,"79,398"
Sartorius Stedim Biotech SA,37.55,"10,409"
Compass Group plc,37.73,"480,000"
Daiichi Sankyo Company Ltd,37.79,"16,033"
Capgemini SE,37.82,"324,700"
SBA Communications Corporation,37.93,"1,596"
"Dollar Tree, Inc.",38.00,"61,886"
Crédit Agricole SA,38.01,"75,975"
AB Volvo,38.13,"92,144"
Kuaishou Technology,38.15,"27,125"
Dell Technologies Inc.,38.16,"133,000"
"Banco Bilbao Vizcaya Argentaria, SA",38.25,"110,432"
Baker Hughes Company,38.39,"54,000"
Ecopetrol SA,38.69,"18,000"
Alcon Inc.,38.90,"24,389"
Prudential plc,39.00,"23,000"
Novozymes A-S,39.03,"6,184"
Givaudan SA,39.29,"16,842"
eBay Inc.,39.34,"10,800"
Alimentation Couche-Tard Inc.,39.56,"98,000"
EQT AB,39.71,"1,059"
Hess Corporation,32.81,"1,545"
Orange SA,32.84,"132,002"
Deutsche Börse AG,32.99,"8,855"
Cenovus Energy Inc.,33.02,"5,938"
Aptiv PLC,33.02,"155,000"
"Rockwell Automation, Inc.",33.05,"24,500"
Sun Life Financial Inc.,33.08,"22,719"
Otis Worldwide Corporation,33.09,"70,000"
"Zoom Video Communications, Inc.",33.22,"6,787"
China Resources Land Ltd,33.26,"47,537"
Telefonaktiebolaget LM Ericsson,33.29,"100,454"
International Flavors & Fragrances Inc.,33.32,"24,000"
China Vanke Co. Ltd,33.35,"140,565"
Koninklijke Ahold Delhaize N.V.,33.43,"144,550"
PTT PCL,33.46,NAN
"Mizuho Financial Group, Inc.",33.47,"54,492"
KKR & Co. Inc.,33.49,"3,238"
Poly Developments and Holdings Group Co. Ltd,33.64,"61,201"
MTR Corp Ltd,33.66,"31,968"
FANUC Corp,33.68,"8,256"
Kuehne + Nagel International AG,33.69,"73,516"
Discover Financial Services,33.73,"16,700"
"Tyson Foods, Inc.",33.73,"137,000"
Halliburton Company,33.95,"40,000"
"T. Rowe Price Group, Inc.",34.01,"7,529"
"Chunghwa Telecom Co., Ltd.",34.06,"20,341"
Equity Residential,34.11,"2,400"
Chongqing Zhifei Biological Products Co. Ltd,34.13,"3,380"
Arthur J. Gallagher & Co.,34.22,"39,000"
Z Holdings Corp,34.24,"22,531"
"Verisk Analytics, Inc.",34.39,"9,367"
Sydney Airport Limited,34.40,418
VERBUND AG,34.44,"2,870"
"Align Technology, Inc.",34.49,"22,540"
Fastenal Company,34.58,"18,370"
"Ameriprise Financial, Inc.",34.64,"12,000"
ArcelorMittal,34.66,"158,000"
Budweiser Brewing Company APAC Ltd,34.73,"26,038"
China CITIC Bank Corp Ltd,34.84,"57,062"
"Consolidated Edison, Inc.",34.89,"13,871"
"Cheniere Energy, Inc.",34.92,"1,550"
"Old Dominion Freight Line, Inc.",34.94,"23,663"
Sun Hung Kai Properties Ltd,35.04,"38,500"
"Yum! Brands, Inc.",35.12,"36,000"
Imperial Oil Limited,35.13,"5,400"
"AvalonBay Communities, Inc.",35.19,"2,839"
Assicurazioni Generali,35.20,"74,621"
Hexagon AB,35.21,"22,097"
Telstra Corporation Limited,35.24,"26,728"
Henkel AG & Co KGaA,30.53,"52,450"
"Twitter, Inc.",30.83,"7,500"
Energy Transfer LP,30.69,"12,558"
Loblaw Companies Limited,30.70,"200,000"
Veeva Systems Inc.,30.76,"4,506"
Nokia Corporation,30.91,"87,927"
SAIC Motor Corp Ltd,30.93,"204,815"
State Street Corporation,30.95,"38,784"
Engie SA,31.00,"154,364"
Anhui Conch Cement Company Ltd,31.02,"47,539"
Franco-Nevada Corporation,31.00,38
China Pacific Insurance,31.04,"110,940"
"Zscaler, Inc.",31.03,"3,153"
E.ON SE,31.12,"63,227"
"AMETEK, Inc.",31.15,"18,500"
Zhangzhou Pientzehuang Pharmaceutical. Ltd,31.17,"2,526"
Formosa Petrochemical Corp,31.22,NAN
Koninklijke DSM N.V.,31.25,"21,358"
Swisscom AG,31.26,"18,905"
Biogen Inc.,31.35,"9,610"
Japan Post Holdings Co. Ltd,31.41,"243,612"
CRH plc,31.45,"77,400"
China Telecom Corp Ltd,31.49,"278,922"
Eversource Energy,31.56,"9,227"
Foxconn Industrial Internet Co. Ltd,31.58,"196,159"
"Japan Tobacco, Inc.",31.59,"55,381"
Corning Incorporated,31.60,"61,200"
Goodman Group,31.64,941
"ONEOK, Inc.",31.66,"2,847"
Mettler-Toledo International Inc.,31.78,"15,600"
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,31.78,"20,817"
"PPG Industries, Inc.",31.89,"49,300"
"JAPAN POST BANK Co.,Ltd.",31.93,"12,451"
Longfor Group Holdings Ltd,31.98,"44,065"
Great Wall Motor Co Ltd,32.01,"63,174"
PACCAR Inc,32.04,"28,500"
WEG SA,32.05,"36,987"
Brown-Forman Corporation,32.07,"4,700"
Barclays plc,32.19,"81,600"
ANTA Sports Products Ltd,32.20,"52,000"
Singapore Telecommunications Ltd,32.23,"22,914"
Haier Smart Home Co Ltd,32.31,"99,299"
"Cellnex Telecom, SA",32.32,"2,877"
CITIC Ltd,32.33,"135,304"
WuXi Biologics,32.41,"9,864"
China Overseas Land & Investment Ltd,32.49,"5,916"
AmerisourceBergen Corporation,32.51,"38,000"
"WEC Energy Group, Inc.",32.54,"6,938"
"Ross Stores, Inc.",32.71,"88,100"
CGN Power Co. Ltd,19.25,"18,248"
Snam S.p.A.,19.27,"3,388"
Magna International Inc.,19.36,"158,000"
KB Financial Group Inc.,19.39,"25,428"
Svenska Handelsbanken AB,19.42,"10,793"
Fresenius Medical Care AG & Co. KGaA,19.42,"122,909"
EDP - Energias de Portugal SA,19.43,"12,236"
"Ferrovial, SA",19.44,"18,680"
"Molina Healthcare, Inc.",19.46,"14,000"
"Avantor, Inc.",19.48,"13,500"
Shenzhou International Group Holdings Ltd,19.50,"94,400"
JBS SA,19.53,"250,000"
TransUnion,19.53,"10,200"
Arch Capital Group Ltd.,19.54,"5,200"
