CompanyName,MarketCap,EmployeesTotalAmount
CANADIAN PACIFIC RAILWAY,45.872,NAN
ERNST & YOUNG,245,NAN
MARVELL TECHNOLOGY GROUP,50.396,NAN
PINDUODUO,125.350,NAN
FEDEX CORPORATION,70.724,NAN
EQUINIX,76.000,NAN
NOVATEK,73.220,NAN
MOODY'S CORPORATION,70.899,NAN
"LUCID GROUP, INC.",32.308,NAN
NATIONAL AUSTRALIA BANK,69.046,NAN
BASF SE,70.978,NAN
A.P. MOLLER - MAERSK A/S,53.954,NAN
PETROLEO BRASILEIRO - PETROBRAS,68.487,NAN
ALDI,256,NAN
KDDI CORPORATION,69.533,NAN
LONGI GREEN ENERGY TECHNOLOGY,69.039,NAN
ZURICH INSURANCE GROUP AG,65.651,NAN
WASTE MANAGEMENT,65.317,NAN
NONGFU SPRING,59.798,NAN
EATON CORPORATION,67.108,NAN
NETEASE,67.760,NAN
DENSO CORPORATION,54.482,NAN
UBS GROUP AG,57.919,NAN
SNAP INC,120.340,NAN
INDUSTRIAL BANK,59.705,NAN
AMERICA MOVIL,65.350,NAN
PT BANK CENTRAL ASIA TBK,56.651,NAN
AIR PRODUCTS AND CHEMICALS,59.660,NAN
ECOLAB,64.473,NAN
CAPITAL ONE FINANCIAL CORPORATION,74.042,NAN
NIDEC CORPORATION,67.613,NAN
DAIKIN INDUSTRIES,73.464,NAN
BLOCK INC,123.230,NAN
DBS GROUP HOLDINGS,57.451,NAN
WHATSAPP,276,NAN
CHINA SHENHUA ENERGY COMPANY,57.673,NAN
DOMINION ENERGY,62.933,NAN
REGENERON PHARMACEUTICALS,72.417,NAN
STELLANTIS N.V,62.339,NAN
PROGRESSIVE CORPORATION,56.388,NAN
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,69.203,NAN
MEDIATEK,52.812,NAN
KLA CORPORATION,51.924,NAN
NORTHROP GRUMMAN CORPORATION,58.872,NAN
FERRARI,53.761,NAN
WAL-MART DE MEXICO,62.400,NAN
WORKDAY,67.744,NAN
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,60.359,NAN
PUBLIC STORAGE,56.793,NAN
